pol,utdate,obsnum,subsysnr,object,molecule,transition,obs_sb,peak,tsys,bwmode
p0,20200620,23,1,IRC+10216,CS,5-4,LSB,10.6495,286.1874,250MHzx8192
p0,20200624,17,1,IRC+10216,CS,5-4,LSB,11.0301,142.8066,250MHzx8192
p0,20200627,17,1,IRC+10216,CS,5-4,LSB,10.4569,162.8927,250MHzx8192
p1,20200620,23,1,IRC+10216,CS,5-4,LSB,11.0127,271.2127,250MHzx8192
p1,20200624,17,1,IRC+10216,CS,5-4,LSB,11.6556,133.8225,250MHzx8192
p1,20200627,17,1,IRC+10216,CS,5-4,LSB,10.924000000000000,151.7223,250MHzx8192
both,20200620,23,1,IRC+10216,CS,5-4,LSB,10.7005,278.4,250MHzx8192
both,20200624,17,1,IRC+10216,CS,5-4,LSB,11.3323,138.0846,250MHzx8192
both,20200627,17,1,IRC+10216,CS,5-4,LSB,10.6382,157.0096,250MHzx8192
p0,20200620,23,2,IRC+10216,CS,5-4,LSB,10.4941,284.3247,1000MHzx2048
p0,20200624,17,2,IRC+10216,CS,5-4,LSB,10.9716,140.3412,1000MHzx2048
p0,20200627,17,2,IRC+10216,CS,5-4,LSB,10.4354,161.3568,1000MHzx2048
p1,20200620,23,2,IRC+10216,CS,5-4,LSB,10.7814,273.6994,1000MHzx2048
p1,20200624,17,2,IRC+10216,CS,5-4,LSB,11.6379,138.8089,1000MHzx2048
p1,20200627,17,2,IRC+10216,CS,5-4,LSB,10.871000000000000,156.0734,1000MHzx2048
both,20200620,23,2,IRC+10216,CS,5-4,LSB,10.6354,278.8618,1000MHzx2048
both,20200624,17,2,IRC+10216,CS,5-4,LSB,11.2976,139.5673,1000MHzx2048
both,20200627,17,2,IRC+10216,CS,5-4,LSB,10.6414,158.6493,1000MHzx2048
p0,20200629,54,1,N7538IRS1,CS,5-4,LSB,9.973360000000000,123.7422,250MHzx8192
p0,20200701,72,1,N7538IRS1,CS,5-4,LSB,10.1768,149.516,250MHzx8192
p1,20200629,54,1,N7538IRS1,CS,5-4,LSB,10.3262,115.0373,250MHzx8192
