project	utdate	obsnum	object	obs_type	file_id	msbtitle	obs_sb	subsysnr	subbands	lofreqs	restfreq	molecule	transiti
JCMTCAL	20200717	8	IRC+10216	science	a20200717_00008_01_0001.sdf	IRC+10216 CO(2-1) 230.5380	LSB	1	250MHzx8192	236.5410701592	230.538	CO	2 - 1
JCMTCAL	20200717	8	IRC+10216	science	a20200717_00008_02_0001.sdf	IRC+10216 CO(2-1) 230.5380	LSB	2	1000MHzx2048	236.5410701592	230.538	CO	2 - 1
JCMTCAL	20200720	6	16293-2422	science	a20200720_00006_01_0001.sdf	16293-2422 CO(2-1) 230.5380	LSB	1	250MHzx8192	236.5262687358	230.538	CO	2 - 1
JCMTCAL	20200720	6	16293-2422	science	a20200720_00006_02_0001.sdf	16293-2422 CO(2-1) 230.5380	LSB	2	1000MHzx2048	236.5262687358	230.538	CO	2 - 1
M16AL005	20200720	10	J132035.40+340821.7	science	a20200720_00010_01_0001.sdf	J132035.40+340821.7testLSB	LSB	1	1000MHzx2048	231.3174618604	230.538	CO	2 - 1
M16AL005	20200720	11	J132035.40+340821.7	science	a20200720_00011_01_0001.sdf	J132035.40+340821.7testLSB	LSB	1	1000MHzx2048	231.3174471811	230.538	CO	2 - 1
M16AL005	20200720	12	J132035.40+340821.7	science	a20200720_00012_01_0001.sdf	J132035.40+340821.7testLSB	LSB	1	1000MHzx2048	231.3174337845	230.538	CO	2 - 1
M20AEC36	20200720	15	16293-2422	science	a20200720_00015_01_0001.sdf	16293-2422 PSSW C17O 5min with large redshift	LSB	1	1000MHzx2048	230.6974841113	230.538	CO	2 - 1
M20AEC36	20200720	15	16293-2422	science	a20200720_00015_02_0001.sdf	16293-2422 PSSW C17O 5min with large redshift	LSB	2	1000MHzx2048	230.6974841113	230.538	CO	2 - 1
M20AEC36	20200720	16	16293-2422	science	a20200720_00016_01_0001.sdf	16293-2422 PSSW C17O 5min with large redshift	LSB	1	1000MHzx2048	230.6974760446	230.538	CO	2 - 1
M20AEC36	20200720	16	16293-2422	science	a20200720_00016_02_0001.sdf	16293-2422 PSSW C17O 5min with large redshift	LSB	2	1000MHzx2048	230.6974760446	230.538	CO	2 - 1
M20AEC36	20200720	17	16293-2422	science	a20200720_00017_01_0001.sdf	16293-2422 PSSW C17O 5min with large redshift	LSB	1	1000MHzx2048	230.6974679475	230.538	CO	2 - 1
M20AEC36	20200720	17	16293-2422	science	a20200720_00017_02_0001.sdf	16293-2422 PSSW C17O 5min with large redshift	LSB	2	1000MHzx2048	230.6974679475	230.538	CO	2 - 1
JCMTCAL	20200721	7	16293-2422	science	a20200721_00007_01_0001.sdf	16293-2422 CO(2-1) 230.5380 (1X)_done_20200720T181605	USB	1	250MHzx8192	224.5261132676	230.538	CO	2 - 1
JCMTCAL	20200721	7	16293-2422	science	a20200721_00007_02_0001.sdf	16293-2422 CO(2-1) 230.5380 (1X)_done_20200720T181605	USB	2	1000MHzx2048	224.5261132676	230.538	CO	2 - 1
M20AEC36	20200721	11	16293-2422	science	a20200721_00011_01_0001.sdf	16293-2422 red CO test 4	LSB	1	1000MHzx2048	236.5211829315	230.538	CO	2 - 1
JCMTCAL	20200721	12	16293-2422	science	a20200721_00012_01_0001.sdf	16293-2422 CO(2-1) 230.5380	USB	1	250MHzx8192	224.5260833841	230.538	CO	2 - 1
JCMTCAL	20200721	12	16293-2422	science	a20200721_00012_02_0001.sdf	16293-2422 CO(2-1) 230.5380	USB	2	1000MHzx2048	224.5260833841	230.538	CO	2 - 1
M20AEC36	20200721	39	CRL618	science	a20200721_00039_01_0001.sdf	CRL618 BMSW with large redshift	LSB	1	1000MHzx2048	229.8381342125	230.538	CO	2 - 1
